Id,Date,Thread,Level,Logger,Message,Exception,Application,CorrelationId,CallingMethod,User,PercentProcessorTime,AvailableMemoryMB
15773,2017-08-14 15:08:15.990,TestRunnerThread,INFO,Matarisvan.IntegrationTests.Infrastructure.LogTests,INTEGRATION TESTING: Something happened.,,App Integration Tests,1E377F7E-03BA-45B6-B1DE-8E131D62CCE5,Matarisvan.IntegrationTests.Infrastructure.LogTests.ShouldLogInfoMessage,DOMAIN\morrisda,"18,23136",7153
15772,2017-08-14 15:08:15.253,TestRunnerThread,INFO,Matarisvan.IntegrationTests.Infrastructure.LogTests,INTEGRATION TESTING: It ended.,,App Integration Tests,1E377F7E-03BA-45B6-B1DE-8E131D62CCE5,Matarisvan.IntegrationTests.Infrastructure.LogTests.ShouldPreAndPostInfoWithResult,DOMAIN\morrisda,"20,09576",7155
15771,2017-08-14 15:08:14.080,TestRunnerThread,INFO,Matarisvan.IntegrationTests.Infrastructure.LogTests,INTEGRATION TESTING: It started.,,App Integration Tests,1E377F7E-03BA-45B6-B1DE-8E131D62CCE5,Matarisvan.IntegrationTests.Infrastructure.LogTests.ShouldPreAndPostInfoWithResult,DOMAIN\morrisda,"20,09576",7155
15770,2017-08-14 15:08:13.347,TestRunnerThread,INFO,Matarisvan.IntegrationTests.Infrastructure.LogTests,INTEGRATION TESTING: It ended.,,App Integration Tests,AA2C095B-D1A8-4E29-A635-D0EE25232790,Matarisvan.IntegrationTests.Infrastructure.LogTests.ShouldPreAndPostInfoWithoutResult,DOMAIN\morrisda,"73,1929",7163
15769,2017-08-14 15:08:12.667,TestRunnerThread,INFO,Matarisvan.IntegrationTests.Infrastructure.LogTests,INTEGRATION TESTING: It started.,,App Integration Tests,AA2C095B-D1A8-4E29-A635-D0EE25232790,Matarisvan.IntegrationTests.Infrastructure.LogTests.ShouldPreAndPostInfoWithoutResult,DOMAIN\morrisda,"73,1929",7163
15768,2017-08-14 15:08:12.613,TestRunnerThread,ERROR,Matarisvan.IntegrationTests.Infrastructure.LogTests,Error occurred: 'INTEGRATION TESTING: It ended.',"System.Exception: INTEGRATION TESTING: Error occurred.    at Matarisvan.IntegrationTests.Infrastructure.LogTests.LogInfo_Action_String.<>c.<ShouldLogException>b__1_0() in C:\Dev\App\Matarisvan.IntegrationTests\Infrastructure\LogTests.cs:line 48    at Matarisvan.Infrastructure.Logging.Log.LogAny[T,TResult](Level level, String message, Nullable`1 correlationId, String callingMethod, Action taskA, Func`1 taskF, String postMsg, Exception exception) in C:\Dev\App\Matarisvan.Infrastructure\Logging\Log.cs:line 133",App Integration Tests,NULL,Matarisvan.IntegrationTests.Infrastructure.LogTests.ShouldLogException,DOMAIN\morrisda,0,7164
15767,2017-08-14 15:08:12.597,TestRunnerThread,INFO,Matarisvan.IntegrationTests.Infrastructure.LogTests,INTEGRATION TESTING: It started.,,App Integration Tests,NULL,Matarisvan.IntegrationTests.Infrastructure.LogTests.ShouldLogException,DOMAIN\morrisda,0,7164
15766,2017-08-14 15:08:08.843,7,INFO,Matarisvan.Application.Services.WebApi.NonGlobalCompaniesController,NonGlobalCompaniesController.GetByClient End,,App Web Back-end,02308FC5-A0D1-4435-89E7-36C692A0B412,Matarisvan.Application.Services.WebApi.NonGlobalCompaniesController.GetByClient,,"23,06812",7329
15765,2017-08-14 15:07:51.337,7,INFO,Matarisvan.Application.Services.WebApi.NonGlobalCompaniesController,NonGlobalCompaniesController.GetByClient Start,,App Web Back-end,02308FC5-A0D1-4435-89E7-36C692A0B412,Matarisvan.Application.Services.WebApi.NonGlobalCompaniesController.GetByClient,,"23,06812",7329
15764,2017-08-14 15:07:51.320,8,INFO,Matarisvan.Application.Services.WebApi.NonGlobalCompaniesController,NonGlobalCompaniesController.GetByClient End,,App Web Back-end,6443B5CF-6203-4AC6-9A7B-C7867B0300C4,Matarisvan.Application.Services.WebApi.NonGlobalCompaniesController.GetByClient,,"37,29263",7454
15763,2017-08-14 15:07:33.787,8,INFO,Matarisvan.Application.Services.WebApi.NonGlobalCompaniesController,NonGlobalCompaniesController.GetByClient Start,,App Web Back-end,6443B5CF-6203-4AC6-9A7B-C7867B0300C4,Matarisvan.Application.Services.WebApi.NonGlobalCompaniesController.GetByClient,,"37,29263",7454
15762,2017-08-14 15:07:33.763,7,INFO,Matarisvan.Application.Services.WebApi.NonGlobalCompaniesController,NonGlobalCompaniesController.GetByClient End,,App Web Back-end,44593D8D-D8C8-4265-BB64-37ABD0EEDACB,Matarisvan.Application.Services.WebApi.NonGlobalCompaniesController.GetByClient,,"38,84472",7371
15761,2017-08-14 15:07:16.293,7,INFO,Matarisvan.Application.Services.WebApi.NonGlobalCompaniesController,NonGlobalCompaniesController.GetByClient Start,,App Web Back-end,44593D8D-D8C8-4265-BB64-37ABD0EEDACB,Matarisvan.Application.Services.WebApi.NonGlobalCompaniesController.GetByClient,,"38,84472",7371
15760,2017-08-14 15:07:16.243,16,INFO,Matarisvan.Application.Services.WebApi.NonGlobalCompaniesController,NonGlobalCompaniesController.GetByClient End,,App Web Back-end,BBFA6CED-FF03-457F-A998-417D70D0C41D,Matarisvan.Application.Services.WebApi.NonGlobalCompaniesController.GetByClient,,"14,69072",7373
15759,2017-08-14 15:06:56.927,16,INFO,Matarisvan.Application.Services.WebApi.NonGlobalCompaniesController,NonGlobalCompaniesController.GetByClient Start,,App Web Back-end,BBFA6CED-FF03-457F-A998-417D70D0C41D,Matarisvan.Application.Services.WebApi.NonGlobalCompaniesController.GetByClient,,"14,69072",7373
15758,2017-08-14 15:06:56.857,18,INFO,Matarisvan.Application.Services.WebApi.NonGlobalSubsidiaryCompaniesController,Fetching non-global subsidiaries for institution '10668015' & client '1447486457',,App Web Back-end,095E28A3-E69A-4B1F-B30B-ED046A0DF21D,Matarisvan.Domain.Services.SubsidiaryHoldingPivotService.GetQueryable,,"19,3861",7373
15757,2017-08-14 15:06:56.583,18,INFO,Matarisvan.Domain.Services.SubsidiaryHoldingPivotService,"unidentifiedSubsidiaryId '4042613', unidentifiedSubsidiaryAdvisorId '346270'",,App Web Back-end,095E28A3-E69A-4B1F-B30B-ED046A0DF21D,Matarisvan.Domain.Services.SubsidiaryHoldingPivotService.GetQueryable,,"19,3861",7373
15756,2017-08-14 15:06:55.657,18,INFO,Matarisvan.Domain.Services.SubsidiaryHoldingPivotService,"ClientId '1447486457', institutionId '10668015', relatedClients 1447486457",,App Web Back-end,095E28A3-E69A-4B1F-B30B-ED046A0DF21D,Matarisvan.Domain.Services.SubsidiaryHoldingPivotService.Get,,"10,50393",7373
15755,2017-08-14 15:06:51.640,18,INFO,Matarisvan.Application.Services.WebApi.NonGlobalSubsidiaryCompaniesController,Fetching non-global subsidiaries for institution '10668015' & client '1447486457',,App Web Back-end,095E28A3-E69A-4B1F-B30B-ED046A0DF21D,Matarisvan.Application.Services.WebApi.NonGlobalSubsidiaryCompaniesController.GetByInstitutionAndClient,,"6,693555",7364
15754,2017-08-14 15:06:51.630,17,INFO,Matarisvan.Application.Services.WebApi.NonGlobalSubsidiaryCompaniesController,Fetching non-global subsidiaries for institution '10668015' & client '1447486457',,App Web Back-end,6A8E175A-C829-47D0-9DA0-31AD4F1F41AF,Matarisvan.Domain.Services.SubsidiaryHoldingPivotService.GetQueryable,,"19,54632",7364
15753,2017-08-14 15:06:51.357,17,INFO,Matarisvan.Domain.Services.SubsidiaryHoldingPivotService,"unidentifiedSubsidiaryId '4042613', unidentifiedSubsidiaryAdvisorId '346270'",,App Web Back-end,6A8E175A-C829-47D0-9DA0-31AD4F1F41AF,Matarisvan.Domain.Services.SubsidiaryHoldingPivotService.GetQueryable,,"19,54632",7364
15752,2017-08-14 15:06:50.433,17,INFO,Matarisvan.Domain.Services.SubsidiaryHoldingPivotService,"ClientId '1447486457', institutionId '10668015', relatedClients 1447486457",,App Web Back-end,6A8E175A-C829-47D0-9DA0-31AD4F1F41AF,Matarisvan.Domain.Services.SubsidiaryHoldingPivotService.Get,,"12,207",7363
15751,2017-08-14 15:06:46.440,17,INFO,Matarisvan.Application.Services.WebApi.NonGlobalSubsidiaryCompaniesController,Fetching non-global subsidiaries for institution '10668015' & client '1447486457',,App Web Back-end,6A8E175A-C829-47D0-9DA0-31AD4F1F41AF,Matarisvan.Application.Services.WebApi.NonGlobalSubsidiaryCompaniesController.GetByInstitutionAndClient,,"5,274096",7364
15750,2017-08-14 15:06:46.427,7,INFO,Matarisvan.Application.Services.WebApi.NonGlobalSubsidiaryCompaniesController,Fetching non-global subsidiaries for institution '10668015' & client '1447486457',,App Web Back-end,29BE58CB-E59B-4785-B275-CCB577F3B230,Matarisvan.Domain.Services.SubsidiaryHoldingPivotService.GetQueryable,,"18,09915",7364
15749,2017-08-14 15:06:46.150,7,INFO,Matarisvan.Domain.Services.SubsidiaryHoldingPivotService,"unidentifiedSubsidiaryId '4042613', unidentifiedSubsidiaryAdvisorId '346270'",,App Web Back-end,29BE58CB-E59B-4785-B275-CCB577F3B230,Matarisvan.Domain.Services.SubsidiaryHoldingPivotService.GetQueryable,,"18,09915",7364
15748,2017-08-14 15:06:45.227,7,INFO,Matarisvan.Domain.Services.SubsidiaryHoldingPivotService,"ClientId '1447486457', institutionId '10668015', relatedClients 1447486457",,App Web Back-end,29BE58CB-E59B-4785-B275-CCB577F3B230,Matarisvan.Domain.Services.SubsidiaryHoldingPivotService.Get,,"9,866001",7364
15747,2017-08-14 15:06:41.620,7,INFO,Matarisvan.Application.Services.WebApi.NonGlobalSubsidiaryCompaniesController,Fetching non-global subsidiaries for institution '10668015' & client '1447486457',,App Web Back-end,29BE58CB-E59B-4785-B275-CCB577F3B230,Matarisvan.Application.Services.WebApi.NonGlobalSubsidiaryCompaniesController.GetByInstitutionAndClient,,"10,56383",7368
15746,2017-08-14 15:06:40.457,17,INFO,Matarisvan.Application.Services.WebApi.GlobalCompaniesController,GlobalCompaniesController.GetByClient End,,App Web Back-end,19E13EBF-BE11-4C30-957C-8C71859C2965,Matarisvan.Application.Services.WebApi.GlobalCompaniesController.GetByClient,,"10,01896",7467
15745,2017-08-14 15:06:11.053,17,INFO,Matarisvan.Application.Services.WebApi.GlobalCompaniesController,GlobalCompaniesController.GetByClient Start,,App Web Back-end,19E13EBF-BE11-4C30-957C-8C71859C2965,Matarisvan.Application.Services.WebApi.GlobalCompaniesController.GetByClient,,"10,01896",7467
15744,2017-08-14 15:06:10.813,17,INFO,Matarisvan.Application.Services.WebApi.GlobalCompaniesController,GlobalCompaniesController.GetByClient End,,App Web Back-end,C9C38D1B-02D0-4331-8D5F-86D3BB440BC1,Matarisvan.Application.Services.WebApi.GlobalCompaniesController.GetByClient,,"17,17963",7501
15743,2017-08-14 15:05:40.830,17,INFO,Matarisvan.Application.Services.WebApi.GlobalCompaniesController,GlobalCompaniesController.GetByClient Start,,App Web Back-end,C9C38D1B-02D0-4331-8D5F-86D3BB440BC1,Matarisvan.Application.Services.WebApi.GlobalCompaniesController.GetByClient,,"17,17963",7501
15742,2017-08-14 15:05:40.660,17,INFO,Matarisvan.Application.Services.WebApi.GlobalCompaniesController,GlobalCompaniesController.GetByClient End,,App Web Back-end,BBE94C7A-AF83-4113-9B7E-BC6B97739F72,Matarisvan.Application.Services.WebApi.GlobalCompaniesController.GetByClient,,"11,87078",7552
15741,2017-08-14 15:05:10.307,17,INFO,Matarisvan.Application.Services.WebApi.GlobalCompaniesController,GlobalCompaniesController.GetByClient Start,,App Web Back-end,BBE94C7A-AF83-4113-9B7E-BC6B97739F72,Matarisvan.Application.Services.WebApi.GlobalCompaniesController.GetByClient,,"11,87078",7552
15740,2017-08-14 15:05:10.070,7,INFO,Matarisvan.Application.Services.WebApi.GlobalCompaniesController,GlobalCompaniesController.GetByClient End,,App Web Back-end,079D9D60-91F8-4378-A3C5-012D963A2F74,Matarisvan.Application.Services.WebApi.GlobalCompaniesController.GetByClient,,"26,11649",7408
